dataset,model,condition,version,n,similarity_mean,FK_mean,GunningFog_mean,pct_Neutral,pct_Negative,pct_Positive
MedQuAD,Mixtral,Base,Main,231,0.73,14.9,18.56,84.4,15.2,0.4
MedQuAD,Mixtral,Base,VariantB,231,0.73,14.28,17.7,85.3,14.3,0.4
MedQuAD,Mixtral,Base,VariantC,231,0.73,14.38,17.83,81.4,18.6,0.0
MedQuAD,Mixtral,Empathy,Main,231,0.68,10.66,13.14,89.6,9.1,1.3
MedQuAD,Mixtral,Empathy,VariantB,231,0.71,11.67,14.32,90.0,9.1,0.9
MedQuAD,Mixtral,Empathy,VariantC,231,0.69,11.48,14.01,77.5,21.6,0.9
MedQuAD,Mixtral,Rephrase,Main,231,0.85,10.68,13.32,87.4,10.8,1.7
MedQuAD,Mixtral,Rephrase,VariantB,231,0.84,11.11,13.69,87.9,10.4,1.7
MedQuAD,Mixtral,Rephrase,VariantC,231,0.84,11.07,13.81,84.8,14.3,0.9
MedQuAD,MedGemma,Base,Main,231,0.71,16.34,20.18,83.5,16.5,0.0
MedQuAD,MedGemma,Base,VariantB,231,0.72,15.72,19.48,74.5,25.5,0.0
MedQuAD,MedGemma,Base,VariantC,231,0.72,16.29,20.05,78.8,20.3,0.9
MedQuAD,MedGemma,Empathy,Main,231,0.72,10.26,12.7,83.1,13.0,3.9
MedQuAD,MedGemma,Empathy,VariantB,231,0.73,10.38,12.97,86.1,12.1,1.7
MedQuAD,MedGemma,Empathy,VariantC,231,0.74,11.94,14.54,87.0,12.1,0.9
MedQuAD,MedGemma,Rephrase,Main,231,0.87,11.15,13.53,82.3,17.3,0.4
MedQuAD,MedGemma,Rephrase,VariantB,231,0.84,10.49,12.88,88.7,8.2,3.0
MedQuAD,MedGemma,Rephrase,VariantC,231,0.85,10.12,12.33,87.9,11.3,0.9
MedRedQA,Mixtral,Base,Main,200,0.53,15.46,19.01,92.0,7.5,0.5
MedRedQA,Mixtral,Base,VariantB,200,0.52,14.39,17.65,94.5,5.5,0.0
MedRedQA,Mixtral,Base,VariantC,200,0.53,14.5,17.82,89.0,10.5,0.5
MedRedQA,Mixtral,Empathy,Main,200,0.52,10.5,12.91,89.0,7.5,3.5
MedRedQA,Mixtral,Empathy,VariantB,200,0.56,11.57,14.14,89.5,8.5,2.0
MedRedQA,Mixtral,Empathy,VariantC,200,0.53,11.12,13.69,92.0,6.5,1.5
MedRedQA,Mixtral,Rephrase,Main,200,0.79,9.76,12.29,78.0,13.5,8.5
MedRedQA,Mixtral,Rephrase,VariantB,200,0.77,10.3,12.87,83.5,8.0,8.5
MedRedQA,Mixtral,Rephrase,VariantC,200,0.76,10.57,13.2,84.0,12.5,3.5
MedRedQA,MedGemma,Base,Main,200,0.51,16.77,20.54,89.5,10.5,0.0
MedRedQA,MedGemma,Base,VariantB,200,0.5,16.13,19.85,86.5,13.5,0.0
MedRedQA,MedGemma,Base,VariantC,200,0.51,16.63,20.37,90.0,10.0,0.0
MedRedQA,MedGemma,Empathy,Main,200,0.57,9.88,12.23,77.5,19.0,3.5
MedRedQA,MedGemma,Empathy,VariantB,200,0.57,10.15,12.62,73.5,23.0,3.5
MedRedQA,MedGemma,Empathy,VariantC,200,0.56,11.6,14.08,78.5,18.5,3.0
MedRedQA,MedGemma,Rephrase,Main,200,0.81,10.34,12.68,78.0,18.0,4.0
MedRedQA,MedGemma,Rephrase,VariantB,200,0.78,10.22,12.6,81.5,10.0,8.5
MedRedQA,MedGemma,Rephrase,VariantC,200,0.8,9.84,12.13,76.0,18.0,6.0
