dataset,metric,model,condition,n,cramers_v,p_raw,p_fdr
MedQuAD,sentiment,Mixtral,Base,231,0.1286,0.009466116736509317,0.013673
MedQuAD,sentiment,Mixtral,Empathy,231,0.2207,2.2238687486568055e-07,1e-06
MedQuAD,sentiment,Mixtral,Rephrase,231,0.1592,0.00010502074608316199,0.000234
MedQuAD,sentiment,MedGemma,Base,231,0.1204,0.03513546153228515,0.045676
MedQuAD,sentiment,MedGemma,Empathy,231,0.2314,4.658376492523284e-10,0.0
MedQuAD,sentiment,MedGemma,Rephrase,231,0.1358,0.005115580141160464,0.008313
MedQuAD,sentiment,GPT,Base,231,0.1702,0.0012428883413850905,0.002308
MedQuAD,sentiment,GPT,Empathy,231,0.2069,1.6162860797495307e-06,5e-06
MedQuAD,sentiment,GPT,Rephrase,231,0.0985,0.0812448868230421,0.096017
MedQuAD,sentiment,Gemini,Rephrase,231,0.0689,0.33409436001198195,0.361936
MedQuAD,sentiment,Claude,Base,231,0.0495,0.5683398771305661,0.56834
MedQuAD,sentiment,Claude,Empathy,231,0.2458,2.160296132421013e-11,0.0
MedQuAD,sentiment,Claude,Rephrase,231,0.1739,0.00010803786162667417,0.000234
MedQuAD,emotion,Mixtral,Base,231,0.0887,0.09158178897368108,0.091582
MedQuAD,emotion,Mixtral,Empathy,231,0.3935,2.304447282397657e-50,0.0
MedQuAD,emotion,Mixtral,Rephrase,231,0.2402,2.618806909131042e-17,0.0
MedQuAD,emotion,MedGemma,Base,231,0.112,0.007984324007433076,0.009436
MedQuAD,emotion,MedGemma,Empathy,231,0.2318,4.977299260924822e-14,0.0
MedQuAD,emotion,MedGemma,Rephrase,231,0.1463,1.3127102504962372e-05,2.4e-05
MedQuAD,emotion,GPT,Base,231,0.1179,0.0037263723458028923,0.004844
MedQuAD,emotion,GPT,Empathy,231,0.2808,2.112686189234332e-24,0.0
MedQuAD,emotion,GPT,Rephrase,231,0.146,4.780249632087971e-05,6.9e-05
MedQuAD,emotion,Gemini,Rephrase,231,0.1499,2.3829522218347617e-05,3.9e-05
MedQuAD,emotion,Claude,Base,231,0.1089,0.01157982588655339,0.012545
MedQuAD,emotion,Claude,Empathy,231,0.226,4.093416791003573e-15,0.0
MedQuAD,emotion,Claude,Rephrase,231,0.1768,1.2745660021973967e-09,0.0
MedRedQA,sentiment,Mixtral,Base,200,0.1907,7.467072657130762e-06,3e-05
MedRedQA,sentiment,Mixtral,Empathy,200,0.1556,0.0006655391664371444,0.00173
MedRedQA,sentiment,Mixtral,Rephrase,200,0.0968,0.11210124354230924,0.208188
MedRedQA,sentiment,MedGemma,Base,200,0.2051,8.82776440915391e-07,8e-06
MedRedQA,sentiment,MedGemma,Empathy,200,0.0808,0.26503467367314976,0.430681
MedRedQA,sentiment,MedGemma,Rephrase,200,0.0588,0.5974575378360617,0.597458
MedRedQA,sentiment,GPT,Base,200,0.2027,1.2642860767569116e-06,8e-06
MedRedQA,sentiment,GPT,Empathy,200,0.0682,0.4451567613737817,0.551777
MedRedQA,sentiment,GPT,Rephrase,200,0.0644,0.5056871735270161,0.551777
MedRedQA,sentiment,Gemini,Rephrase,200,0.0711,0.3994181478421095,0.551777
MedRedQA,sentiment,Claude,Base,200,0.1893,9.140599905806169e-06,3e-05
MedRedQA,sentiment,Claude,Empathy,200,0.1077,0.05454200553825643,0.118174
MedRedQA,sentiment,Claude,Rephrase,200,0.0642,0.5093324398834504,0.551777
MedRedQA,emotion,Mixtral,Base,200,0.2072,5.7027186244542855e-19,0.0
MedRedQA,emotion,Mixtral,Empathy,200,0.2487,1.5494389464612764e-29,0.0
MedRedQA,emotion,Mixtral,Rephrase,200,0.1823,1.0183683335808708e-13,0.0
MedRedQA,emotion,MedGemma,Base,200,0.2166,3.7438447474035444e-21,0.0
MedRedQA,emotion,MedGemma,Empathy,200,0.1269,1.2996591034578311e-05,1.9e-05
MedRedQA,emotion,MedGemma,Rephrase,200,0.0976,0.018363451575029485,0.021702
MedRedQA,emotion,GPT,Base,200,0.2195,7.451106475746198e-22,0.0
MedRedQA,emotion,GPT,Empathy,200,0.1679,4.4064268434153974e-11,0.0
MedRedQA,emotion,GPT,Rephrase,200,0.092,0.0501385984741259,0.050139
MedRedQA,emotion,Gemini,Rephrase,200,0.0944,0.031076103648248258,0.033666
MedRedQA,emotion,Claude,Base,200,0.224,5.539341024400374e-23,0.0
MedRedQA,emotion,Claude,Empathy,200,0.1429,6.485120103336397e-08,0.0
MedRedQA,emotion,Claude,Rephrase,200,0.1187,0.00020658629625925045,0.000269
