dataset,model,condition,mean_similarity,std_similarity,n
MedQuAD,Mixtral,Base,0.7274,0.1253,231
MedQuAD,Mixtral,Empathy,0.684,0.1363,231
MedQuAD,Mixtral,Rephrase,0.8493,0.107,231
MedQuAD,MedGemma,Base,0.7115,0.1254,231
MedQuAD,MedGemma,Empathy,0.7247,0.1185,231
MedQuAD,MedGemma,Rephrase,0.8732,0.0999,231
MedQuAD,GPT,Base,0.6916,0.1269,231
MedQuAD,GPT,Empathy,0.7061,0.1242,231
MedQuAD,GPT,Rephrase,0.8977,0.0812,231
MedQuAD,Gemini,Rephrase,0.9223,0.0772,231
MedQuAD,Claude,Base,0.715,0.1228,231
MedQuAD,Claude,Empathy,0.6969,0.1148,231
MedQuAD,Claude,Rephrase,0.8478,0.0985,231
MedRedQA,Mixtral,Base,0.5268,0.1525,200
MedRedQA,Mixtral,Empathy,0.5207,0.1612,200
MedRedQA,Mixtral,Rephrase,0.7894,0.1178,200
MedRedQA,MedGemma,Base,0.5057,0.1554,200
MedRedQA,MedGemma,Empathy,0.5661,0.1581,200
MedRedQA,MedGemma,Rephrase,0.805,0.1221,200
MedRedQA,GPT,Base,0.4999,0.1512,200
MedRedQA,GPT,Empathy,0.558,0.1564,200
MedRedQA,GPT,Rephrase,0.8487,0.0983,200
MedRedQA,Gemini,Rephrase,0.8947,0.0899,200
MedRedQA,Claude,Base,0.5049,0.1538,200
MedRedQA,Claude,Empathy,0.5663,0.1487,200
MedRedQA,Claude,Rephrase,0.8347,0.0938,200
